name	dist	support	Country	Country_counter	Country_delta	Country_pval
ROOT	0.0		Africa	Africa--50||Albania--31||EastEurope--10||Greece--39||WestEurope--22	19.742622307742465	0.0
node_1	0.09501		Africa	Africa--2||WestEurope--3		
node_2	0.04473		Africa	Africa--48||Albania--31||EastEurope--10||Greece--39||WestEurope--19		
node_3	0.0053		Africa	Africa--1||WestEurope--1		
node_4	0.01021		Africa	Africa--1||WestEurope--2		
00CZAY4286	0.07746		EastEurope			
node_5	0.01023		Africa	Africa--48||Albania--31||EastEurope--9||Greece--39||WestEurope--19		
97CDAF6238	0.08034		Africa			
94CYAF6237	0.10559		WestEurope			
97CDAF6240	0.04761		Africa			
node_6	0.02046		WestEurope	WestEurope--2		
node_7	0.0098		Africa	Africa--7||EastEurope--9||Greece--3||WestEurope--5		
node_8	0.00303		Africa	Africa--41||Albania--31||Greece--36||WestEurope--14		
03ESAY2109	0.04105		WestEurope			
03ESAY2098	0.02771		WestEurope			
85UGM62320	0.09015		Africa			
node_9	0.00322		Africa	Africa--6||EastEurope--9||Greece--3||WestEurope--5		
node_10	0.02819		Africa	Africa--7||WestEurope--2		
node_11	0.00449		Africa	Africa--34||Albania--31||Greece--36||WestEurope--12		
node_12	0.02373		Africa	Africa--3||WestEurope--1		
node_13	0.0		Africa	Africa--3||EastEurope--9||Greece--3||WestEurope--4		
99SEAY5206	0.03711		WestEurope			
node_14	0.00509		Africa	Africa--7||WestEurope--1		
node_15	0.00995		Africa	Africa--6||Greece--3||WestEurope--3		
node_16	0.01376		Africa	Africa--28||Albania--31||Greece--33||WestEurope--9		
00GAAJ3391	0.08297		Africa			
node_17	0.00348		Africa	Africa--2||WestEurope--1		
node_18	0.00416		Africa	Africa--3||EastEurope--1||Greece--2||WestEurope--4		
node_19	0.05679		EastEurope	EastEurope--8||Greece--1		
99SDAY2494	0.04645		Africa			
node_20	0.0		Africa	Africa--6||WestEurope--1		
node_21	0.00091		Africa	Africa--3||Greece--3||WestEurope--3		
node_22	0.00646		Africa	Africa--3		
00KEAF7081	0.07835		Africa			
node_23	0.01845		Africa	Africa--27||Albania--31||Greece--33||WestEurope--9		
98CMAJ6934	0.0551		Africa			
node_24	0.00303		Africa	Africa--1||WestEurope--1		
node_25	0.05533		Greece,WestEurope	EastEurope--1||Greece--2||WestEurope--3		
node_26	0.01185		Africa	Africa--3||WestEurope--1		
00CZAY4248	0.01387		EastEurope			
node_27	0.00817		EastEurope	EastEurope--7||Greece--1		
