name	dist	support	dup_percent	dup_sp	evoltype	lineage	named_lineage	rank	sci_name	taxid
Root	0.0				S	1|2	root|d__Archaea	superkingdom	d__Archaea	d__Archaea
N6812	0.2597				S	1|2	root|d__Archaea	superkingdom	d__Archaea	d__Archaea
N6821	0.2597				S	1|2|2243|2244|2245	root|d__Archaea|p__Undinarchaeota|c__Undinarchaeia|o__Undinarchaeales	order	o__Undinarchaeales	o__Undinarchaeales
N5360	0.05579				S	1|2	root|d__Archaea	superkingdom	d__Archaea	d__Archaea
N6811	0.06611				S	1|2	root|d__Archaea	superkingdom	d__Archaea	d__Archaea
N6819	0.09477				S	1|2|2243|2244|2245	root|d__Archaea|p__Undinarchaeota|c__Undinarchaeia|o__Undinarchaeales	order	o__Undinarchaeales	o__Undinarchaeales
GB_GCA_014189685.1	0.47012					1|2|2243|2244|2245|4647|4648|4649|4650	root|d__Archaea|p__Undinarchaeota|c__Undinarchaeia|o__Undinarchaeales|f__Naiadarchaeaceae|g__Naiadarchaeum|s__Naiadarchaeum limnaeum|GB_GCA_014189685.1	subspecies	s__Naiadarchaeum limnaeum	GB_GCA_014189685.1
N4994	0.10664				S	1|2	root|d__Archaea	superkingdom	d__Archaea	d__Archaea
N5359	0.06134				S	1|2	root|d__Archaea	superkingdom	d__Archaea	d__Archaea
N6797	0.05163				S	1|2	root|d__Archaea	superkingdom	d__Archaea	d__Archaea
N6810	0.17452				S	1|2	root|d__Archaea	superkingdom	d__Archaea	d__Archaea
N6817	0.56957				S	1|2|2243|2244|2245|2246|2247	root|d__Archaea|p__Undinarchaeota|c__Undinarchaeia|o__Undinarchaeales|f__Undinarchaeaceae|g__Undinarchaeum	genus	g__Undinarchaeum	g__Undinarchaeum
GB_GCA_002502135.1	0.51876					1|2|2243|2244|2245|11166|11167|11168|11169	root|d__Archaea|p__Undinarchaeota|c__Undinarchaeia|o__Undinarchaeales|f__UBA543|g__UBA543|s__UBA543 sp002502135|GB_GCA_002502135.1	subspecies	s__UBA543 sp002502135	GB_GCA_002502135.1
N4364	0.03517				S	1|2	root|d__Archaea	superkingdom	d__Archaea	d__Archaea
N4993	0.04151				S	1|2	root|d__Archaea	superkingdom	d__Archaea	d__Archaea
N5311	0.09679				S	1|2	root|d__Archaea	superkingdom	d__Archaea	d__Archaea
N5358	0.18671				S	1|2|1010|1011	root|d__Archaea|p__Altiarchaeota|c__Altiarchaeia	class	c__Altiarchaeia	c__Altiarchaeia
N6513	0.10887				S	1|2|621|622	root|d__Archaea|p__Nanoarchaeota|c__Nanoarchaeia	class	c__Nanoarchaeia	c__Nanoarchaeia
N6796	0.11274				S	1|2	root|d__Archaea	superkingdom	d__Archaea	d__Archaea
