gtdb_id	cdhA	cdhB	cdhC	mcrA	mcrB	mcrC	mcrD	mcrG	mtrA	mtrB	mtrC	mtrD	mtrE	mtrF	mtrG	mtrH
GB_GCA_000010085.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000010565.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000010645.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000016605.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000017245.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000017645.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000018565.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000023725.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000024525.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000026125.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000027065.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000063505.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000063525.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000069185.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000091165.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000093085.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000145985.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GB_GCA_000153145.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000153385.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000153445.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000153745.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
